starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 04 12:42:21 2022	1643949741	1	9	9	7
Fri Feb 04 12:42:21 2022	1643949741	2	11	13	6
Fri Feb 04 12:42:21 2022	1643949741	1	12	14	6
Fri Feb 04 12:42:21 2022	1643949741	4	11	15	8
Fri Feb 04 12:42:21 2022	1643949741	3	13	16	8
Fri Feb 04 12:42:21 2022	1643949741	2	14	16	8
Fri Feb 04 12:42:21 2022	1643949741	1	15	16	15
Fri Feb 04 12:42:21 2022	1643949741	1	15	17	11
Fri Feb 04 12:42:21 2022	1643949741	8	13	21	13
Fri Feb 04 12:42:21 2022	1643949741	2	21	23	9
Fri Feb 04 12:42:21 2022	1643949741	15	9	23	6
Fri Feb 04 12:42:21 2022	1643949741	3	20	24	9
Fri Feb 04 12:42:21 2022	1643949741	4	20	24	9
Fri Feb 04 12:42:21 2022	1643949741	6	19	25	10
Fri Feb 04 12:42:21 2022	1643949741	1	26	27	22
Fri Feb 04 12:42:21 2022	1643949741	5	26	31	15
Fri Feb 04 12:42:21 2022	1643949741	1	31	31	28
Fri Feb 04 12:42:21 2022	1643949741	6	27	33	20
Fri Feb 04 12:42:21 2022	1643949741	24	10	33	9
Fri Feb 04 12:42:21 2022	1643949741	8	25	33	19
Fri Feb 04 12:42:21 2022	1643949741	7	26	34	19
Fri Feb 04 12:42:21 2022	1643949741	21	15	36	15
Fri Feb 04 12:42:21 2022	1643949741	5	37	42	18
Fri Feb 04 12:42:21 2022	1643949741	6	36	42	18
Fri Feb 04 12:42:21 2022	1643949741	4	38	42	18
Fri Feb 04 12:42:21 2022	1643949741	9	34	43	18
Fri Feb 04 12:42:21 2022	1643949741	8	35	43	18
Fri Feb 04 12:42:23 2022	1643949743	19	26	45	24
Fri Feb 04 12:42:23 2022	1643949743	28	17	45	15
Fri Feb 04 12:42:23 2022	1643949743	19	26	45	25
Fri Feb 04 12:42:23 2022	1643949743	19	26	46	25
Fri Feb 04 12:42:23 2022	1643949743	29	17	46	17
Fri Feb 04 12:42:23 2022	1643949743	19	27	46	25
Fri Feb 04 12:42:23 2022	1643949743	20	27	46	25
Fri Feb 04 12:42:23 2022	1643949743	20	27	46	25
Fri Feb 04 12:42:23 2022	1643949743	29	17	46	17
Fri Feb 04 12:42:23 2022	1643949743	20	27	47	25
Fri Feb 04 12:42:23 2022	1643949743	20	27	47	25
Fri Feb 04 12:42:23 2022	1643949743	20	27	47	25
Fri Feb 04 12:42:23 2022	1643949743	30	18	47	17
Fri Feb 04 12:42:23 2022	1643949743	20	27	47	26
Fri Feb 04 12:42:23 2022	1643949743	20	27	47	26
Fri Feb 04 12:42:23 2022	1643949743	20	27	48	26
Fri Feb 04 12:42:23 2022	1643949743	21	27	48	26
Fri Feb 04 12:42:23 2022	1643949743	21	27	48	26
Fri Feb 04 12:42:23 2022	1643949743	21	27	48	26
Fri Feb 04 12:42:23 2022	1643949743	29	19	48	17
Fri Feb 04 12:42:23 2022	1643949743	21	27	48	26
Fri Feb 04 12:42:23 2022	1643949743	22	27	49	26
Fri Feb 04 12:42:23 2022	1643949743	30	19	49	19
Fri Feb 04 12:42:23 2022	1643949743	22	27	49	26
Fri Feb 04 12:42:23 2022	1643949743	31	19	49	19
Fri Feb 04 12:42:23 2022	1643949743	23	27	50	26
Fri Feb 04 12:42:21 2022	1643949741	14	36	50	26
Fri Feb 04 12:42:23 2022	1643949743	23	27	50	26
Fri Feb 04 12:42:21 2022	1643949741	22	28	50	28
Fri Feb 04 12:42:23 2022	1643949743	31	19	50	19
Fri Feb 04 12:42:23 2022	1643949743	24	27	51	26
Fri Feb 04 12:42:23 2022	1643949743	33	19	52	19
Fri Feb 04 12:42:23 2022	1643949743	25	27	52	26
Fri Feb 04 12:42:21 2022	1643949741	22	30	52	30
Fri Feb 04 12:42:23 2022	1643949743	26	27	53	26
Fri Feb 04 12:42:23 2022	1643949743	27	27	54	26
Fri Feb 04 12:42:23 2022	1643949743	28	27	55	26
Fri Feb 04 12:42:23 2022	1643949743	19	37	55	24
Fri Feb 04 12:42:23 2022	1643949743	19	37	56	24
Fri Feb 04 12:42:23 2022	1643949743	29	27	56	26
Fri Feb 04 12:42:23 2022	1643949743	30	27	57	26
Fri Feb 04 12:42:23 2022	1643949743	19	39	58	33
Fri Feb 04 12:42:23 2022	1643949743	19	39	58	33
Fri Feb 04 12:42:23 2022	1643949743	19	39	58	34
Fri Feb 04 12:42:23 2022	1643949743	19	39	58	34
Fri Feb 04 12:42:23 2022	1643949743	19	39	59	34
Fri Feb 04 12:42:23 2022	1643949743	19	40	59	35
Fri Feb 04 12:42:23 2022	1643949743	19	40	59	35
Fri Feb 04 12:42:21 2022	1643949741	21	38	59	38
Fri Feb 04 12:42:23 2022	1643949743	19	40	59	35
Fri Feb 04 12:42:22 2022	1643949742	21	39	60	30
Fri Feb 04 12:42:23 2022	1643949743	19	40	60	35
Fri Feb 04 12:42:22 2022	1643949742	21	38	60	30
Fri Feb 04 12:42:22 2022	1643949742	22	38	60	30
Fri Feb 04 12:42:23 2022	1643949743	20	40	60	35
Fri Feb 04 12:42:23 2022	1643949743	20	40	60	35
Fri Feb 04 12:42:23 2022	1643949743	21	40	61	35
Fri Feb 04 12:42:22 2022	1643949742	20	41	61	30
Fri Feb 04 12:42:23 2022	1643949743	21	40	61	35
Fri Feb 04 12:42:23 2022	1643949743	21	40	61	35
Fri Feb 04 12:42:23 2022	1643949743	22	40	62	35
Fri Feb 04 12:42:23 2022	1643949743	22	40	62	35
Fri Feb 04 12:42:23 2022	1643949743	24	38	62	27
Fri Feb 04 12:42:23 2022	1643949743	23	39	62	27
Fri Feb 04 12:42:23 2022	1643949743	22	40	62	35
Fri Feb 04 12:42:23 2022	1643949743	22	40	63	35
Fri Feb 04 12:42:22 2022	1643949742	20	43	63	30
Fri Feb 04 12:42:23 2022	1643949743	22	40	63	35
Fri Feb 04 12:42:23 2022	1643949743	22	40	63	35
Fri Feb 04 12:42:23 2022	1643949743	23	40	63	35
Fri Feb 04 12:42:21 2022	1643949741	22	41	63	40
Fri Feb 04 12:42:21 2022	1643949741	14	49	63	29
Fri Feb 04 12:42:23 2022	1643949743	23	40	63	35
Fri Feb 04 12:42:23 2022	1643949743	23	41	64	36
Fri Feb 04 12:42:23 2022	1643949743	24	41	64	36
Fri Feb 04 12:42:23 2022	1643949743	21	43	64	16
Fri Feb 04 12:42:21 2022	1643949741	23	41	64	40
