starttime	seconds	ctime	dtime	ttime	wait
Tue Feb 01 14:22:15 2022	1643696535	2	13	14	13
Tue Feb 01 14:22:15 2022	1643696535	1	18	19	18
Tue Feb 01 14:22:15 2022	1643696535	5	14	19	14
Tue Feb 01 14:22:15 2022	1643696535	2	17	19	17
Tue Feb 01 14:22:15 2022	1643696535	1	18	19	18
Tue Feb 01 14:22:15 2022	1643696535	1	19	19	19
Tue Feb 01 14:22:15 2022	1643696535	1	19	19	18
Tue Feb 01 14:22:15 2022	1643696535	1	19	20	19
Tue Feb 01 14:22:15 2022	1643696535	1	19	20	19
Tue Feb 01 14:22:15 2022	1643696535	1	19	20	19
Tue Feb 01 14:22:15 2022	1643696535	1	20	20	19
Tue Feb 01 14:22:15 2022	1643696535	3	17	21	15
Tue Feb 01 14:22:15 2022	1643696535	1	20	21	20
Tue Feb 01 14:22:15 2022	1643696535	2	20	22	20
Tue Feb 01 14:22:15 2022	1643696535	2	21	23	20
Tue Feb 01 14:22:15 2022	1643696535	1	22	23	20
Tue Feb 01 14:22:15 2022	1643696535	3	20	23	19
Tue Feb 01 14:22:15 2022	1643696535	2	21	23	21
Tue Feb 01 14:22:15 2022	1643696535	6	19	25	19
Tue Feb 01 14:22:15 2022	1643696535	5	22	27	22
Tue Feb 01 14:22:15 2022	1643696535	1	39	40	21
Tue Feb 01 14:22:15 2022	1643696535	4	42	46	34
Tue Feb 01 14:22:15 2022	1643696535	16	30	46	30
Tue Feb 01 14:22:15 2022	1643696535	15	33	48	31
Tue Feb 01 14:22:15 2022	1643696535	1	50	52	50
Tue Feb 01 14:22:15 2022	1643696535	1	52	53	52
Tue Feb 01 14:22:15 2022	1643696535	16	37	53	37
Tue Feb 01 14:22:15 2022	1643696535	15	44	59	37
Tue Feb 01 14:22:15 2022	1643696535	16	44	59	37
Tue Feb 01 14:22:15 2022	1643696535	13	49	62	45
Tue Feb 01 14:22:15 2022	1643696535	16	46	62	46
Tue Feb 01 14:22:15 2022	1643696535	16	48	63	46
Tue Feb 01 14:22:15 2022	1643696535	15	48	64	46
Tue Feb 01 14:22:17 2022	1643696537	2	96	97	88
Tue Feb 01 14:22:15 2022	1643696535	1	102	103	102
